a p ford tiempo
54 0.0 1 0.0024940584075920924
55 0.0 1 0.002421771969693509
56 0.0 1 0.0024048463646977325
57 0.0 1 0.002517683731184661
58 0.0 1 0.00245386009601134
59 0.0 1 0.0023734634723950876
60 0.0 1 0.002319513106613158
61 0.0 1 0.002306113669874321
62 0.0 1 0.0022905985319994215
63 0.0 1 0.0023406701125168183
64 0.0 1 0.00226485750727079
65 0.0 1 0.0022504002199639217
66 0.0 1 0.0019845271763188066
67 0.0 1 0.001302566344747902
68 0.0 1 0.0012909299916827877
69 0.0 1 0.001277883171042049
70 0.0 1 0.0012680099016506574
71 0.0 1 0.0012461476617318112
72 0.0 1 0.0012073598168171884
73 0.0 1 0.0011978391644333897
73 0.0 1 0.0011939603800783516
74 0.0 1 0.0011886711286024365
74 0.0 1 0.001186555427921121
75 0.0 1 0.0011745664578484138
76 0.0 1 0.0011914920628441905
77 0.0 1 0.0010670183432921476
78 0.0 1 0.0010356354505347554
79 0.0 1 0.0010282304983775248
80 0.0 1 0.0010190624625465716
81 0.0 1 0.000997905456188164
82 0.0 0 5.077681498733e-05
0 0.0 2 0.005830165659062914
1 0.0 2 0.006899652319589222
2 0.0 2 0.006550914335548441
3 0.0 2 0.003935908376206498
4 0.0 2 0.003919335388218315
5 0.0 1 0.0019559652178031683
6 0.0 1 0.0019482076490930922
7 0.0 1 0.0019376291456865147
8 0.0 0 2.0804389350814745e-05
0 0.0 2 0.0041252635810451466
1 0.0 2 0.004050508825912402
2 0.0 2 0.004099522556771262
3 0.0 2 0.004082596952230233
4 0.0 2 0.003984922107065358
5 0.0 2 0.003974696220666374
6 0.0 2 0.00406990274814234
7 0.0 2 0.003937671459880221
8 0.0 2 0.003908756884811737
9 0.0 2 0.003892536513376399
10 0.0 2 0.006378837352258415
11 0.0 2 0.006707828797516413
12 0.0 2 0.006682793006802967
13 0.0 2 0.00664471039590353
14 0.0 2 0.007120037800632417
15 0.0 2 0.0065815919942906476
16 0.0 2 0.006554440502895886
17 0.0 2 0.004025120418191364
18 0.0 2 0.003728569715804042
19 0.0 2 0.003717991212852212
20 0.0 1 0.0018533537381699716
21 0.0 1 0.001845948786012741
22 0.0 1 0.0018699267261581554
23 0.0 1 0.0018254970136695192
24 0.0 1 0.0018159763603762258
25 0.0 1 0.0017891774859890575
26 0.0 1 0.0017796568331505114
27 0.0 1 0.0017729571145537193
28 0.0 1 0.001764141695730359
29 0.0 1 0.001753210575770936
30 0.0 1 0.0018660479418031173
31 0.0 1 0.0029849009497411316
32 0.0 1 0.0029577494588011177
33 0.0 1 0.0029485814229701646
34 0.0 1 0.0029238982492643117
35 0.0 1 0.0029119092787368572
36 0.0 1 0.002914730212523864
37 0.0 1 0.0028988624580961186
38 0.0 1 0.0028815842365474964
39 0.0 1 0.002857606296402082
40 0.0 1 0.00285090657780529
41 0.0 1 0.00292777703361935
42 0.0 1 0.0028244603204257146
43 0.0 1 0.0028114134993302287
44 0.0 1 0.0027899038768737228
45 0.0 1 0.0027743887385440757
45 0.0 1 0.0028188184519422066
46 0.0 1 0.002748647714724939
47 0.0 1 0.002735953511091793
48 0.0 1 0.002721143606777332
49 0.0 1 0.0026915237981484097
50 0.0 1 0.0026887028639066557
51 0.0 1 0.00212839481764604
52 0.0 1 0.0015240096754496335
53 0.0 1 0.0015081419210218883
54 0.0 1 0.0014280979148679762
55 0.0 1 0.0014168141779009602
56 0.0 0 1.727822154862224e-05
0 0.0 2 0.005368237691527611
1 0.0 2 0.006889073816637392
