N,k,DistanciaPromedio,tDistancia,DensidadPromedio,tDensidad
128, 52, 0.03662109375, 1.281822451689706, 0.8239357729649006, 0.16345279762816034
128, 53, 0.0361328125, 1.2372199251182536, 0.8377358490566028, 0.17497385344813665
128, 54, 0.03564453125, 1.258800086602733, 0.8520249221183785, 0.18222083839633285
128, 55, 0.03515625, 1.2501891790300022, 0.8667222685571294, 0.18852422020509607
128, 56, 0.03466796875, 1.696040604554824, 0.8817567567567577, 0.19623489653159254
128, 57, 0.0341796875, 1.4212267687093316, 0.8970656730321348, 0.3132829420107157
128, 58, 0.03369140625, 1.6738624046082862, 0.9125937031484276, 0.281760743711601
128, 59, 0.033203125, 1.4558357763815764, 0.9282920469361178, 0.21410129558543645
128, 60, 0.03271484375, 1.2389706686112305, 0.9441176470588211, 0.2238321148064557
128, 61, 0.0322265625, 1.2400246408771949, 0.9600325159192521, 0.23284712148149822
128, 62, 0.03173828125, 1.2726124478038656, 0.9760031471282424, 0.24692993993522805
128, 63, 0.03125, 1.2956379864439924, 0.9920000000000017, 0.2625843724369048
128, 64, 0.031005859375, 1.2547333545373647, 1.0, 0.24751669465270254 
